Combo,Individual,Pheno,ID,Group_n,Group,Group_d,Treatment,Perc_viability,Width_flower,Width_stem,Decomposed,Predator
NA,P3.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
NA,P3.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
P3.97.4,P3.97,P3,97,4,Aug_14,Day 21,Outside,0.1,1.3,0.12,N,Y
P3.98.1,P3.98,P3,98,1,July_25,Day 1,Inside,0.05,1.6,0.18,N,N
P3.99.4,P3.99,P3,99,4,Aug_14,Day 21,Outside,0,1.2,0.1,N,N
NA,P4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
P4.10.4,P4.10,P4,10,4,Aug_16,Day 21,Inside,0.25,1.9,0.14,N,N
P4.100.4,P4.100,P4,100,4,Aug_16,Day 21,Inside,0.65,1.7,0.16,N,Y
P4.101.2,P4.101,P4,101,2,Aug_3,Day 7,Inside,0.35,1.3,0.13,N,N
P4.102.2,P4.102,P4,102,2,Aug_3,Day 7,Inside,0.35,1.8,0.15,N,N
P4.103.3,P4.103,P4,103,3,Aug_9,Day 14,Outside,0.4,1.5,0.14,N,N
P4.104.3,P4.104,P4,104,3,Aug_9,Day 14,Inside,0.75,1.1,0.2,N,N
P4.105.3,P4.105,P4,105,3,Aug_9,Day 14,Inside,0.25,1.8,0.1,N,N
P4.106.2,P4.106,P4,106,2,Aug_3,Day 7,Inside,0.35,1.5,0.13,N,N
P4.107.1,P4.107,P4,107,1,July_27,Day 1,Outside,0.05,1.1,0.18,N,N
P4.108.2,P4.108,P4,108,2,Aug_3,Day 7,Outside,0.2,1.8,0.16,N,N
NA,P4.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
NA,P4.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
P4.110.2,P4.110,P4,110,2,Aug_3,Day 7,Outside,0.15,1.1,0.19,N,N
P4.111.1,P4.111,P4,111,1,July_27,Day 1,Inside,0.75,1.8,0.11,N,N
NA,P4.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
P4.113.4,P4.113,P4,113,4,Aug_16,Day 21,Inside,0,1.1,0.15,N,N
P4.114.4,P4.114,P4,114,4,Aug_16,Day 21,Inside,0.35,1.8,0.14,N,N
NA,P4.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
P4.116.4,P4.116,P4,116,4,Aug_16,Day 21,Inside,0.05,1.2,0.12,N,N
P4.117.4,P4.117,P4,117,4,Aug_16,Day 21,Outside,0,1.9,0.18,N,N
NA,P4.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
P4.119.2,P4.119,P4,119,2,Aug_3,Day 7,Outside,0.15,1.3,0.16,N,N
NA,P4.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
P4.120.4,P4.120,P4,120,4,Aug_16,Day 21,Outside,0,2,0.15,N,Y
P4.13.2,P4.13,P4,13,2,Aug_3,Day 7,Outside,0.25,1.6,0.13,N,Y
NA,P4.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
P4.15.1,P4.15,P4,15,1,July_27,Day 1,Outside,0.25,1.9,0.12,N,N
P4.16.2,P4.16,P4,16,2,Aug_3,Day 7,Inside,0.7,1.8,0.15,N,N
P4.17.3,P4.17,P4,17,3,Aug_9,Day 14,Inside,0.2,1.1,0.11,N,N
P4.18.4,P4.18,P4,18,4,Aug_16,Day 21,Outside,0,1.4,0.19,N,Y
P4.19.4,P4.19,P4,19,4,Aug_16,Day 21,Inside,0.05,1.8,0.18,N,N
P4.2.3,P4.2,P4,2,3,Aug_9,Day 14,Outside,0.1,1.2,0.17,N,Y
NA,P4.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
P4.21.1,P4.21,P4,21,1,July_27,Day 1,Inside,0.2,1.2,0.14,N,N
P4.22.1,P4.22,P4,22,1,July_27,Day 1,Outside,0.3,1.7,0.12,N,N
P4.23.1,P4.23,P4,23,1,July_27,Day 1,Outside,0,1.4,0.17,N,N
P4.24.1,P4.24,P4,24,1,July_27,Day 1,Outside,0.1,1.2,0.16,N,N
NA,P4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
P4.26.1,P4.26,P4,26,1,July_27,Day 1,Outside,0.05,1.6,0.15,N,N
P4.27.1,P4.27,P4,27,1,July_27,Day 1,Outside,0.2,1.3,0.14,N,N
P4.28.1,P4.28,P4,28,1,July_27,Day 1,Outside,0.2,1.9,0.2,N,N
P4.29.2,P4.29,P4,29,2,Aug_3,Day 7,Outside,0.05,1.2,0.1,N,Y
P4.3.3,P4.3,P4,3,3,Aug_9,Day 14,Inside,0.4,1.1,0.15,N,N
P4.30.1,P4.30,P4,30,1,July_27,Day 1,Inside,0.5,1.7,0.13,N,N
NA,P4.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
